摩擦係数,粘着係数,摩擦係数,粘着係数,,,,,,
10,3.00E+04,10,5.00E+04,出口,,,,,
7,3.50E+04,10,4.00E+04,出口,,,,,
7,4.00E+00,10,3.50E+04,出口,,,,,
7,4.50E+04,7,9.00E+04,出口,,,,,
7,5.00E+04,7,7.00E+04,出口root,,,,,
7,5.50E+04,7,6.00E+04,出口,,,,,
5,5.50E+04,5,6.50E+04,出口root,,,,,
4,4.50E+04,5,6.00E+04,出口root,,,,,
4,5.50E+04,4,6.50E+04,出口,,,,,
3,5.50E+04,4,6.00E+04,出口root,,,,,
2,6.00E+04,3,6.00E+04,出口root,,,,,
1,6.50E+04,2,6.50E+04,出口root,,,,,
0,9.00E+04,1,8.00E+04,出口中,,,,,
0,1.30E+05,1,7.00E+04,出口root,,,,,
0,1.35E+05,0,2.00E+05,出口,,,,,
8,5.00E+04,0,1.65E+05,出口,,,,,
,,0,1.40E+05,出口root,,,,,
,,8,6.00E+04,,,,,,
