摩擦係数（非閉塞）,粘度（非閉塞）,摩擦係数（閉塞）,粘度（閉塞）,,摩擦係数,粘度,,粒子数,,摩擦係数,粘度,,限界粘着力
10,3.00E+04,10,4.00E+04,,10,3.25E+04,,,,10,3.75E+04,,3.75E+04
8,3.00E+04,10,3.50E+04,,8,3.25E+04,,,,8,3.75E+04,,
5,3.00E+04,8,3.50E+04,,5,3.25E+04,,,,5,3.75E+04,,
3,3.50E+04,5,4.00E+04,,3,3.75E+04,,,,3,3.75E+04,,
2,3.50E+04,5,3.50E+04,,2,3.75E+04,,,,2,3.75E+04,,
1,4.00E+04,3,4.00E+04,,1,4.25E+04,,,,1,42500,,
0.5,5.00E+04,2,4.00E+04,,0.5,5.75E+04,,,,0.5,57500,,
0.5,5.50E+04,1,5.00E+04,,0,6.75E+04,,,,0,67500,,
0,6.00E+04,1,4.50E+04,,,,,,,,,,
0,6.50E+04,0.5,6.00E+04,,,,,,,,,,
,,0,8.00E+04,,,,,,,,,,
,,0,7.00E+04,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,3.75E+04,0,,
,,,,,,,,,,3.75E+04,5,,
,,,,,,,,,,3.75E+04,10,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
