normal_mu,normal_coh,hang-up_mu,hang-up_coh,,,,
1,4.50E+04,9,2.00E+04,,,,
1,4.00E+04,8,2.00E+04,,,1,7.00E+04
1,3.30E+04,8,0.00E+00,,,2,4.75E+04
1,2.50E+04,7,2.00E+04,,,2.5,3.75E+04
1,2.00E+04,6,2.00E+04,,,3.5,0.00E+00
0,5.00E+04,5,2.00E+04,,,5,0.00E+00
0,2.00E+04,5,0.00E+00,,,6,0.00E+00
1.5,0.00E+00,4,2.00E+04,,,10,0
,,4,0.00E+00,,,,
,,3,2.00E+04,,,,
,,3,0.00E+00,,,,
,,2,2.00E+04,,,,
,,2,0.00E+00,,,,
,,10,2.00E+04,,,,
,,10,0.00E+00,,,,
,,1,7.00E+04,,,,
,,1,6.50E+04,,,,
,,1,6.00E+04,,,,
,,1,5.00E+04,,,,
,,0,8.50E+04,,,,
,,0.00E+00,7.50E+04,,,,
,,0,1.00E+05,,,,
,,1.5,0.00E+00,,,,
