normal_mu,normal_coh,hang-up_mu,hang-up_coh,
1,5.00E+04,1,7.50E+04,????
1,5.10E+04,1,6.15E+04,????
0,9.00E+04,1,6.00E+04,????root
0,8.75E+04,1,5.50E+04,????root
0,7.50E+04,1,5.20E+04,????root
0,0,1,1.00E+05,??????
10,0.00E+00,0,9.20E+04,??????
9,0.00E+00,0,1.00E+05,??????
8,0.00E+00,10,0.00E+00,??????
7,0.00E+00,9,0.00E+00,??????
6,0.00E+00,8,0.00E+00,??????
5,0.00E+00,7,0.00E+00,??????
4,0.00E+00,6,0.00E+00,????root
3,0.00E+00,5,0.00E+00,??????
2,0.00E+00,4,0.00E+00,
1,0.00E+00,3,0.00E+00,
,,2,0.00E+00,
